come to mention it	``	An expression used when one remembers or realizes something because of what the other person has just said
look me in the eye	``	If you look someone in the eye or look them in the eyes, you look at them directly, often to try to make them believe what you are saying
go to pieces	``	Experience an emotional or mental breakdown
went too far	``	To do more than is acceptable
look her age	``	 Seem as old as you really are and not younger or older
come and go	``	Exist or be there for a short time and then stop or leave
go without saying	``	Be too well known or obvious to need to be mentioned
look on the bright side	``	Consider the positive aspects of a negative situation
went to great lengths	``	To put in a lot of effort, energy, or work to achieve something
